timestamp,yaw,pitch,roll,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,raw_mx,raw_my,raw_mz,uni_ax,uni_ay,uni_az,uni_gx,uni_gy,uni_gz,uni_mx,uni_my,uni_mz,mag_raw_magnitude,mag_cal_magnitude
1767828915.9539149,179.98,-31.14,-28.3,-0.2518310546875,-0.353271484375,-0.9066162109375,2.1875,1.1875,-1.8125,13.0,-71.8,-43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.94992642727833,0.0
1767828915.9665668,180.07,-31.18,-28.36,-0.2557373046875,-0.353271484375,-0.9095458984375,2.1875,2.5,13.75,12.4,-72.4,-44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.03813108151526,0.0
1767828915.97356,180.31,-31.13,-28.5,-0.2508544921875,-0.351806640625,-0.9105224609375,1.8125,3.1875,-2.75,13.8,-73.0,-43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.29397429716632,0.0
1767828915.985853,180.38,-31.15,-28.56,-0.2557373046875,-0.357666015625,-0.9066162109375,0.625,0.8125,-2.625,12.6,-72.6,-43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.56734190098463,0.0
1767828915.99349,180.47,-31.2,-28.64,-0.2581787109375,-0.351318359375,-0.9100341796875,1.9375,2.5625,13.875,11.7,-72.0,-42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.47277667982745,0.0
1767828916.0037272,180.71,-31.15,-28.78,-0.2606201171875,-0.356201171875,-0.897705078125,1.4375,1.3125,-2.5625,11.7,-72.9,-41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.84421017370603,0.0
1767828916.013862,180.8,-31.19,-28.85,-0.2576904296875,-0.352783203125,-0.9061279296875,2.0,1.625,-2.5,13.0,-72.3,-43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.37294653460194,0.0
1767828916.0228028,180.88,-31.22,-28.91,-0.2547607421875,-0.350830078125,-0.9129638671875,0.625,3.6875,-2.625,13.3,-72.6,-43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.87700507120634,0.0
1767828916.036132,180.95,-31.24,-28.98,-0.2596435546875,-0.357666015625,-0.9056396484375,1.6875,1.5625,-2.8125,12.3,-71.1,-44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.61761046023457,0.0
1767828916.043711,181.03,-31.28,-29.05,-0.26220703125,-0.351318359375,-0.9051513671875,0.875,3.875,-2.3125,13.9,-70.5,-42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.6891271313066,0.0
