timestamp,yaw,pitch,roll,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,raw_mx,raw_my,raw_mz,uni_ax,uni_ay,uni_az,uni_gx,uni_gy,uni_gz,uni_mx,uni_my,uni_mz,mag_raw_magnitude,mag_cal_magnitude
1767693131.115169,181.27,-4.55,-6.04,0.07861328125,-0.110595703125,0.979248046875,1.125,3.4375,-0.8125,45.3,-44.8,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.40675991265039,0.0
1767693131.124013,181.26,-4.52,-6.14,0.067138671875,-0.10693359375,0.9873046875,2.0,2.8125,-0.625,43.8,-45.3,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.83970709091858,0.0
1767693131.134401,181.25,-4.38,-6.13,0.078125,-0.10986328125,0.9892578125,1.625,0.625,-0.5625,43.6,-45.1,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.25917421251667,0.0
1767693131.1446662,181.26,-4.43,-6.21,0.08154296875,-0.10693359375,0.983642578125,1.3125,2.4375,-0.4375,44.1,-46.5,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.53801627237601,0.0
1767693131.154528,181.25,-4.52,-6.19,0.0693359375,-0.1103515625,0.9892578125,1.5,1.875,-0.5,44.7,-45.9,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.64006612408207,0.0
1767693131.164788,181.24,-4.39,-6.21,0.0712890625,-0.105224609375,0.974609375,1.375,2.0625,-0.5,42.9,-45.1,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.57647839390494,0.0
1767693131.1745448,181.24,-4.26,-6.17,0.070556640625,-0.11083984375,0.982177734375,1.75,2.0,-0.625,44.4,-45.4,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.17851367223605,0.0
1767693131.183923,181.23,-4.18,-6.25,0.0830078125,-0.11181640625,0.989990234375,1.75,2.5,-0.1875,44.5,-45.7,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.06241092869217,0.0
1767693131.19411,181.23,-4.26,-6.27,0.080078125,-0.1123046875,0.98876953125,1.4375,2.25,-0.625,43.6,-45.4,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.26033911393348,0.0
1767693131.203967,181.23,-4.33,-6.31,0.078125,-0.11181640625,0.982666015625,1.5,1.8125,-0.5625,44.7,-45.9,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.8144022371546,0.0
1767693131.2140958,181.23,-4.4,-6.38,0.07421875,-0.109375,0.986083984375,2.0625,2.0625,-1.5625,43.8,-44.8,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.13935441783266,0.0
1767693131.223694,181.21,-4.27,-6.31,0.066650390625,-0.111328125,0.987548828125,1.6875,2.0625,-0.5,44.7,-45.4,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.52426376604876,0.0
1767693131.2348201,181.2,-4.14,-6.33,0.080810546875,-0.1103515625,0.985107421875,2.25,2.375,-0.4375,43.9,-46.6,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.13968262029223,0.0
1767693131.243658,181.19,-4.23,-6.32,0.0810546875,-0.114013671875,0.986572265625,1.625,1.3125,-0.8125,42.9,-45.1,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.33841218954524,0.0
1767693131.25459,181.19,-4.32,-6.36,0.080810546875,-0.109375,0.98193359375,1.1875,2.5,-0.75,44.1,-44.1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.90656668971774,0.0
1767693131.263926,181.18,-4.41,-6.35,0.069580078125,-0.110595703125,0.981689453125,1.9375,2.4375,-1.125,43.3,-45.7,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.79376581706275,0.0
1767693131.273738,181.17,-4.27,-6.35,0.08056640625,-0.10693359375,0.978759765625,2.25,2.1875,-0.625,43.9,-45.1,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.4288705845565,0.0
1767693131.283655,181.15,-4.38,-6.28,0.074462890625,-0.112548828125,0.986328125,1.5625,2.3125,-0.9375,43.9,-46.2,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.24682958958043,0.0
1767693131.2943249,181.15,-4.33,-6.36,0.0771484375,-0.10986328125,0.982421875,1.8125,1.8125,-0.5625,42.4,-45.9,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.7705599825538,0.0
1767693131.3041952,181.14,-4.42,-6.36,0.077392578125,-0.11328125,0.98681640625,1.6875,1.1875,-0.5,43.2,-44.4,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.62643147113143,0.0
1767693131.314137,181.15,-4.43,-6.45,0.07421875,-0.106201171875,0.97998046875,2.1875,2.1875,-0.875,43.2,-44.4,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.62643147113143,0.0
1767693131.324508,181.13,-4.37,-6.34,0.072509765625,-0.11279296875,0.985107421875,2.0,1.8125,-0.8125,43.6,-45.1,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.08443422637284,0.0
1767693131.3346088,181.13,-4.26,-6.41,0.072021484375,-0.110107421875,0.984619140625,1.0625,2.4375,-0.4375,43.3,-46.5,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.55940427472703,0.0
1767693131.343977,181.12,-4.13,-6.37,0.074951171875,-0.11328125,0.98828125,1.625,2.5,-0.875,42.6,-45.7,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.82017964050853,0.0
1767693131.354555,181.11,-4.19,-6.43,0.081298828125,-0.107177734375,0.982177734375,1.3125,2.9375,-0.5625,44.5,-44.1,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.54708247252118,0.0
1767693131.364487,181.1,-4.26,-6.37,0.06884765625,-0.11669921875,0.982177734375,1.375,1.375,-0.4375,44.5,-46.5,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.76331633444595,0.0
1767693131.374187,181.1,-4.19,-6.45,0.07958984375,-0.10791015625,0.98046875,1.0,1.625,15.9375,42.9,-45.1,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.86631251725296,0.0
1767693131.384128,181.25,-4.26,-6.41,0.06640625,-0.114013671875,0.97802734375,1.6875,3.375,-0.5,44.8,-46.0,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.6396846382283,0.0
1767693131.3938198,181.25,-4.13,-6.45,0.07958984375,-0.11083984375,0.98193359375,1.5625,1.0,-0.5,43.6,-46.6,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.97153326695583,0.0
1767693131.4054341,181.24,-4.23,-6.43,0.075439453125,-0.10595703125,0.98583984375,1.75,3.1875,-0.0625,44.7,-45.4,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.52426376604876,0.0
1767693131.414123,181.23,-4.24,-6.31,0.0791015625,-0.111083984375,0.9853515625,2.125,2.1875,15.875,43.3,-44.8,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.09143921344314,0.0
1767693131.424507,181.39,-4.31,-6.34,0.08154296875,-0.10888671875,0.979736328125,1.875,1.375,-0.8125,43.3,-46.0,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.10077820618933,0.0
1767693131.434767,181.38,-4.41,-6.32,0.0771484375,-0.111572265625,0.98828125,1.5625,1.9375,-0.3125,43.6,-46.2,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.60718796649579,0.0
1767693131.4439769,181.38,-4.42,-6.42,0.078857421875,-0.11083984375,0.97900390625,1.375,1.625,-1.1875,42.9,-46.6,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75590009767747,0.0
1767693131.454263,181.37,-4.51,-6.43,0.076171875,-0.109130859375,0.986328125,1.375,2.5,-0.6875,44.4,-45.4,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.35387673880598,0.0
1767693131.464709,181.36,-4.4,-6.34,0.080322265625,-0.1103515625,0.9912109375,1.375,0.9375,-0.3125,43.6,-46.9,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75204177383382,0.0
1767693131.47373,181.35,-4.51,-6.33,0.077880859375,-0.108642578125,0.98388671875,2.3125,0.6875,-0.1875,44.4,-45.9,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.7787245974116,0.0
1767693131.4838688,181.34,-4.46,-6.17,0.07568359375,-0.10546875,0.978759765625,1.75,2.5625,-0.8125,45.4,-45.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.62116552776654,0.0
1767693131.494487,181.33,-4.35,-6.13,0.080078125,-0.10986328125,0.98388671875,2.0625,2.125,-15.9375,44.4,-44.7,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.30776157670068,0.0
1767693131.504652,181.17,-4.43,-6.17,0.077392578125,-0.109375,0.987060546875,1.625,3.1875,-0.375,44.5,-46.0,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.93471986394835,0.0
1767693131.514018,181.17,-4.42,-6.27,0.07080078125,-0.11083984375,0.98291015625,1.25,2.6875,15.875,43.3,-46.8,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.58073214400596,0.0
1767693131.524541,181.33,-4.27,-6.32,0.076416015625,-0.108154296875,0.9833984375,1.875,1.0,-0.75,44.5,-45.7,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.93662014553195,0.0
1767693131.533769,181.32,-4.37,-6.27,0.08056640625,-0.11181640625,0.978271484375,1.25,2.6875,-0.5,44.4,-46.2,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.82011164671108,0.0
1767693131.544343,181.32,-4.43,-6.33,0.063720703125,-0.106689453125,0.989013671875,1.25,2.0625,-0.375,44.5,-44.8,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5389579501814,0.0
